time;temp
0;-0.2
60;-0.15
120;0.03
180;0.05
240;0.05
300;-0.19
360;0.0
420;-0.04
480;-0.16
540;-0.22
600;-0.19
660;-0.08
720;0.16
780;0.13
840;0.04
900;-0.16
960;-0.14
1020;-0.22
1080;-0.17
1140;-0.08
1200;-0.15
1260;-0.24
1320;-0.17
1380;-0.36
1440;-0.3
1500;-0.37
1560;-0.13
1620;-0.19
1680;-0.18
1740;-0.08
1800;-0.08
1860;-0.14
1920;-0.23
1980;-0.12
2040;-0.24
2100;-0.11
2160;-0.13
2220;-0.09
2280;-0.37
2340;-0.4
2400;-0.34
2460;-0.35
2520;-0.31
2580;-0.28
2640;-0.28
2700;-0.25
2760;-0.34
2820;-0.31
2880;-0.59
2940;-0.34
3000;-0.27
3060;-0.42
3120;-0.45
3180;-0.44
3240;-0.34
3300;-0.32
3360;-0.29
3420;-0.24
3480;-0.24
3540;-0.11
3600;-0.44
3660;-0.51
3720;-0.43
3780;-0.28
3840;-0.24
3900;-0.35
3960;-0.18
4020;-0.31
4080;-0.24
4140;-0.28
4200;-0.28
4260;-0.26
4320;-0.72
4380;-0.57
4440;-0.36
4500;-0.35
4560;-0.31
4620;-0.25
4680;-0.26
4740;-0.36
4800;-0.26
4860;-0.36
4920;-0.27
4980;-0.33
5040;-0.34
5100;-0.36
5160;-0.41
5220;-0.2
5280;-0.22
5340;-0.17
5400;-0.11
5460;-0.16
5520;-0.12
5580;0.01
5640;0.03
5700;-0.04
5760;-0.09
5820;0.16
5880;0.06
5940;0.1
6000;-0.01
6060;-0.1
6120;-0.08
6180;-0.2
6240;-0.24
6300;-0.25
6360;-0.33
6420;-0.29
6480;-0.42
6540;-0.45
6600;-0.4
6660;-0.3
6720;-0.39
6780;-0.25
6840;-0.28
6900;-0.39
6960;-0.37
7020;-0.25
7080;-0.43
7140;-0.31
7200;-0.33
7260;-0.47
7320;-0.18
7380;-0.27
7440;-0.16
7500;-0.2
7560;-0.17
7620;-0.17
7680;-0.15
7740;-0.22
7800;-0.31
7860;-0.04
7920;-0.29
7980;-0.11
8040;-0.4
8100;-0.33
8160;-0.23
8220;-0.22
8280;-0.31
8340;-0.27
8400;-0.17
8460;-0.14
8520;-0.42
8580;-0.38
8640;-0.81
8700;-0.57
8760;-0.22
8820;-0.27
8880;-0.33
8940;-0.25
9000;-0.14
9060;-0.25
9120;-0.22
9180;-0.19
9240;-0.19
9300;-0.34
9360;-0.53
9420;-0.31
