val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,val_MASE,epoch,step,train_loss_epoch,train_SMAPE_epoch,train_MAE_epoch,train_RMSE_epoch,train_MAPE_epoch,train_MASE_epoch,train_loss_step,train_SMAPE_step,train_MAE_step,train_RMSE_step,train_MAPE_step,train_MASE_step
-0.006790367886424065,0.8582402467727661,0.11576546728610992,0.1450687050819397,88169.8671875,1.3493030071258545,0,8,,,,,,,,,,,,
,,,,,,0,8,0.022444453090429306,0.8373138904571533,0.11535832285881042,0.14493365585803986,70146.8125,1.3417460918426514,,,,,,
-0.003420921741053462,0.8483400344848633,0.1156463772058487,0.14467373490333557,84234.75,1.3468962907791138,1,17,,,,,,,,,,,,
,,,,,,1,17,0.017298046499490738,0.8499363660812378,0.11658582091331482,0.14569230377674103,58125.82421875,1.3569722175598145,,,,,,
-0.007091743405908346,0.8404519557952881,0.11463851481676102,0.14407026767730713,73796.796875,1.3311039209365845,2,26,,,,,,,,,,,,
,,,,,,2,26,-0.0046373698860406876,0.8494699001312256,0.11544736474752426,0.14513780176639557,64181.296875,1.3417081832885742,,,,,,
0.028839562088251114,0.8530685305595398,0.11707840859889984,0.1462942659854889,79644.78125,1.3605715036392212,3,35,,,,,,,,,,,,
,,,,,,3,35,-0.05636177957057953,0.8484628200531006,0.11426883190870285,0.14263467490673065,87837.6796875,1.331140160560608,,,,,,
-0.05216020718216896,0.8406185507774353,0.11371007561683655,0.14261086285114288,70929.9765625,1.3209083080291748,4,44,,,,,,,,,,,,
,,,,,,4,44,-0.0007437893655151129,0.8491834402084351,0.11547066271305084,0.14546839892864227,76038.59375,1.3432716131210327,,,,,,
,,,,,,5,49,,,,,,,0.10212013125419617,0.8145332336425781,0.11350366473197937,0.14950202405452728,126428.203125,1.3429937362670898
0.00021407959866337478,0.8432754278182983,0.11591451615095139,0.14531321823596954,76973.5,1.3479492664337158,5,53,,,,,,,,,,,,
,,,,,,5,53,-0.00810159556567669,0.849476158618927,0.11505451798439026,0.14408186078071594,73826.9765625,1.3387507200241089,,,,,,
-0.0073922243900597095,0.8452904224395752,0.11576381325721741,0.1447387933731079,76969.09375,1.3453106880187988,6,62,,,,,,,,,,,,
,,,,,,6,62,0.0029207137413322926,0.8481405973434448,0.11594217270612717,0.14540192484855652,70046.4140625,1.3453161716461182,,,,,,
0.011167262680828571,0.8516727685928345,0.11618886888027191,0.14593245089054108,88175.015625,1.3481805324554443,7,71,,,,,,,,,,,,
,,,,,,7,71,-0.03166694939136505,0.8376630544662476,0.11459304392337799,0.14360089600086212,84387.453125,1.3301604986190796,,,,,,
-0.019184725359082222,0.834024965763092,0.11433538049459457,0.1440352499485016,79639.5078125,1.3328149318695068,8,80,,,,,,,,,,,,
,,,,,,8,80,0.0268868301063776,0.8520249724388123,0.11650551855564117,0.1460552215576172,74308.875,1.3537746667861938,,,,,,
-0.030779417604207993,0.8557819128036499,0.11535652726888657,0.1442030519247055,61661.2421875,1.3400037288665771,9,89,,,,,,,,,,,,
,,,,,,9,89,-0.02848118171095848,0.850271463394165,0.11480973660945892,0.14393490552902222,81334.265625,1.335966944694519,,,,,,
-0.04484144598245621,0.8426730036735535,0.11515481024980545,0.14370304346084595,84519.8046875,1.3399525880813599,10,98,,,,,,,,,,,,
,,,,,,10,98,-0.030128903687000275,0.8404362797737122,0.11503778398036957,0.14371198415756226,84499.1171875,1.3372026681900024,,,,,,
,,,,,,11,99,,,,,,,-0.10956404358148575,0.8869096040725708,0.11634229868650436,0.14312607049942017,266285.90625,1.3480324745178223
-0.04528875648975372,0.8475725650787354,0.11545631289482117,0.14462274312973022,84940.859375,1.3395130634307861,11,107,,,,,,,,,,,,
,,,,,,11,107,-0.012915011495351791,0.8493386507034302,0.11598631739616394,0.14550034701824188,88170.0625,1.3484934568405151,,,,,,
-0.044756267219781876,0.8413448929786682,0.11443737149238586,0.14335615932941437,86058.5,1.3309483528137207,12,116,,,,,,,,,,,,
,,,,,,12,116,0.0006794424261897802,0.8488946557044983,0.11598975211381912,0.1458822339773178,88050.546875,1.3504507541656494,,,,,,
-0.009727571159601212,0.8438929915428162,0.11605331301689148,0.14579692482948303,88155.0859375,1.3471999168395996,13,125,,,,,,,,,,,,
,,,,,,13,125,-0.023713041096925735,0.8457440137863159,0.11569996923208237,0.14464175701141357,75732.390625,1.3469983339309692,,,,,,
-0.020067738369107246,0.8485700488090515,0.11509016156196594,0.1445740908384323,88150.4921875,1.3368682861328125,14,134,,,,,,,,,,,,
,,,,,,14,134,-0.015904851257801056,0.8468174338340759,0.11587096750736237,0.14500710368156433,88162.78125,1.346380352973938,,,,,,
-0.029395142570137978,0.848529577255249,0.11556282639503479,0.14495547115802765,88147.96875,1.3464722633361816,15,143,,,,,,,,,,,,
