val_loss,val_SMAPE,val_MAE,val_RMSE,val_MAPE,val_MASE,epoch,step,train_loss_epoch,train_SMAPE_epoch,train_MAE_epoch,train_RMSE_epoch,train_MAPE_epoch,train_MASE_epoch,train_loss_step,train_SMAPE_step,train_MAE_step,train_RMSE_step,train_MAPE_step,train_MASE_step
-0.1363193392753601,0.8360949754714966,0.11541317403316498,0.14424097537994385,53085.94140625,1.3385957479476929,0,8,,,,,,,,,,,,
,,,,,,0,8,-0.11653129011392593,0.8408336043357849,0.11560750007629395,0.14376313984394073,85572.5,1.3450791835784912,,,,,,
-0.163636714220047,0.8479745388031006,0.11555102467536926,0.1439712792634964,73305.765625,1.3459361791610718,1,17,,,,,,,,,,,,
,,,,,,1,17,-0.16169840097427368,0.8371153473854065,0.11516031622886658,0.14407211542129517,80556.46875,1.3377642631530762,,,,,,
-0.25588053464889526,0.8283942341804504,0.11353041231632233,0.14244970679283142,72170.8125,1.3242906332015991,2,26,,,,,,,,,,,,
,,,,,,2,26,-0.2444189339876175,0.8379614353179932,0.1142139583826065,0.14242418110370636,79826.6171875,1.3302448987960815,,,,,,
-0.29477405548095703,0.8278025388717651,0.1143241599202156,0.14337700605392456,80307.4921875,1.3323464393615723,3,35,,,,,,,,,,,,
,,,,,,3,35,-0.28632017970085144,0.8418335318565369,0.11461055278778076,0.14272291958332062,84915.46875,1.3322075605392456,,,,,,
-0.40966880321502686,0.8319549560546875,0.11340514570474625,0.14212214946746826,83385.0703125,1.315433382987976,4,44,,,,,,,,,,,,
,,,,,,4,44,-0.3515292704105377,0.8350599408149719,0.11366713047027588,0.14248026907444,84194.625,1.3248937129974365,,,,,,
,,,,,,5,49,,,,,,,-0.543239176273346,0.7427693009376526,0.10601920634508133,0.1336199790239334,34735.4140625,1.2293884754180908
-0.4616117477416992,0.8353074789047241,0.11364315450191498,0.1419236958026886,81477.6875,1.3226515054702759,5,53,,,,,,,,,,,,
,,,,,,5,53,-0.44090762734413147,0.8356842398643494,0.11293317377567291,0.14098414778709412,70677.59375,1.3167845010757446,,,,,,
-0.5220425128936768,0.8161431550979614,0.11126574128866196,0.13983112573623657,81537.859375,1.2913827896118164,6,62,,,,,,,,,,,,
,,,,,,6,62,-0.5035669803619385,0.828841507434845,0.11201861500740051,0.14103005826473236,81902.5,1.300342321395874,,,,,,
-0.5290928483009338,0.8071091175079346,0.11020266264677048,0.13801778852939606,67839.78125,1.2808502912521362,7,71,,,,,,,,,,,,
,,,,,,7,71,-0.5264532566070557,0.8080976009368896,0.11063524335622787,0.13894326984882355,84979.890625,1.2855191230773926,,,,,,
-0.5478842854499817,0.7975882887840271,0.10706625878810883,0.1346905678510666,53446.83203125,1.2460280656814575,8,80,,,,,,,,,,,,
,,,,,,8,80,-0.5278995633125305,0.825769305229187,0.10967108607292175,0.13765080273151398,73804.5625,1.274719476699829,,,,,,
-0.5603157877922058,0.7974027395248413,0.10590579360723495,0.13368947803974152,84044.9921875,1.2285871505737305,9,89,,,,,,,,,,,,
,,,,,,9,89,-0.5394167900085449,0.7847769260406494,0.1071217879652977,0.13558189570903778,59796.9375,1.2447142601013184,,,,,,
-0.5906946063041687,0.7685675621032715,0.10145250707864761,0.12850767374038696,67452.53125,1.1780037879943848,10,98,,,,,,,,,,,,
,,,,,,10,98,-0.5703113079071045,0.7808451056480408,0.10394064337015152,0.13148659467697144,62134.625,1.2081849575042725,,,,,,
,,,,,,11,99,,,,,,,-0.6141671538352966,0.8098341226577759,0.09717874974012375,0.12237022072076797,117509.3515625,1.1328774690628052
-0.5906757116317749,0.7518675923347473,0.10021725296974182,0.12807433307170868,67214.578125,1.163023591041565,11,107,,,,,,,,,,,,
,,,,,,11,107,-0.5856751203536987,0.7687371969223022,0.1019514873623848,0.12914933264255524,81476.2265625,1.181506872177124,,,,,,
-0.5954595804214478,0.7489678263664246,0.10010450333356857,0.12748932838439941,81093.8125,1.158142328262329,12,116,,,,,,,,,,,,
,,,,,,12,116,-0.5954405069351196,0.7421175241470337,0.09908244758844376,0.12710146605968475,70185.640625,1.1483650207519531,,,,,,
-0.6163845658302307,0.7317910194396973,0.09663041681051254,0.12378755956888199,78411.3125,1.1185681819915771,13,125,,,,,,,,,,,,
,,,,,,13,125,-0.6129720211029053,0.7364789843559265,0.09694293886423111,0.12486270815134048,78944.09375,1.1210685968399048,,,,,,
-0.6328164339065552,0.7305269241333008,0.09555923938751221,0.12217403948307037,65863.15625,1.1043287515640259,14,134,,,,,,,,,,,,
,,,,,,14,134,-0.644472062587738,0.7235348224639893,0.09508093446493149,0.12129150331020355,76034.6328125,1.0939363241195679,,,,,,
-0.6414081454277039,0.7178974151611328,0.09464114904403687,0.12104029208421707,64339.04296875,1.0930900573730469,15,143,,,,,,,,,,,,
,,,,,,15,143,-0.633519172668457,0.7217460870742798,0.0955469086766243,0.12221673876047134,64927.34765625,1.10089910030365,,,,,,
,,,,,,16,149,,,,,,,-0.5734726786613464,0.7451474666595459,0.09771060943603516,0.1271761655807495,85278.9453125,1.1126185655593872
-0.664922297000885,0.7179951071739197,0.09337229281663895,0.11823233962059021,63689.4375,1.07664155960083,16,152,,,,,,,,,,,,
,,,,,,16,152,-0.6397733092308044,0.7288787364959717,0.09542734920978546,0.1212708055973053,70873.8515625,1.1040899753570557,,,,,,
-0.6383817195892334,0.7179988622665405,0.09501171112060547,0.12136594206094742,69438.34375,1.093005657196045,17,161,,,,,,,,,,,,
